C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_03_868.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_03_868.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_03_868.jpg,0,0,0,5.363855E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_03_937.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_03_937.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_03_937.jpg,0,0,0,9.253495E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_007.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_007.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_007.jpg,0,0,0,2.150557E-05,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_077.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_077.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_077.jpg,0,0,0,1.274983E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_146.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_146.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_146.jpg,0,0,0,2.458121E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_215.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_215.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_215.jpg,0,0,0,1.279835E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_284.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_284.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_284.jpg,0,0,0,4.853906E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_353.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_353.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_353.jpg,0,0,0,4.376722E-06,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_424.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_424.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_424.jpg,0,0,0,1.248345E-05,178.4144,1.683785,105.2286
C:\4C16 Car\Recordings\IMG\center_2018_11_01_13_05_04_494.jpg,C:\4C16 Car\Recordings\IMG\left_2018_11_01_13_05_04_494.jpg,C:\4C16 Car\Recordings\IMG\right_2018_11_01_13_05_04_494.jpg,0,0,0,4.167901E-06,178.4144,1.683785,105.2286
